autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,webseite
Volker H. Altwasser,Deutschland,Rostock,Letzte Fischer,Meike Feßmann,27062010,31121969,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2269/index.html"
Christopher Kloeble,Deutschland,"Königsdorf, Berlin",Ein versteckter Mensch (Romanauszug),Alain Claude Sulzer,27062010,03071982,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2284/index.html"
Daniel Mezger,Schweiz,Zürich,"Bleib am Leben (Auszug aus „Land spielen“)",Burkhard Spinnen,27062010,01071978,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2287/index.html"
Dorothee Elmiger,Schweiz,Berlin,Einladung an die Waghalsigen (Auszug),Paul Jandl,27062010,01071985,w,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2275/index.html"
Thomas Ballhausen,Österreich,Wien,Cave canem,Karin Fleischanderl,27062010,01071975,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2272/index.html"
Max Scharnigg,Deutschland,München,Die Besteigung der Eigernordwand unter einer Treppe,Hubert Winkels,27062010,01071980,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2293/index.html"
Aleks Scholz,Deutschland,Dublin,Google Earth,Hubert Winkels,27062010,01071975,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2299/index.html"
Judith Zander,Deutschland,Berlin,"Dinge, die wir heute sagten (Romanauszug)",Hildegard E. Keller,27062010,13111980,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2305/index.html"
Josef Kleindienst,Österreich,Wien,Ausflug,Karin Fleischanderl,27062010,04021972,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2281/index.html"
Peter Wawerzinek,Deutschland,Berlin,"Ich finde dich/Rabenliebe",Meike Feßmann,27062010,28091954,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2302/index.html"
Iris Schmidt,Deutschland,Düsseldorf,Schnee,Hildegard E. Keller,27062010,01071967,w,Samstag,False,False,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2296/index.html"
Christian Fries,Deutschland,Münster,"Hutmacher, privat (Romanauszug aus „Der Reich'sche Ansatz“)",Paul Jandl,27062010,01071959,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2308/index.html"
